736904,28.53
736903,29.07
736902,29.57
736901,29.29
736900,29.43
736897,29.50
736896,29.46
736895,29.31
736894,29.20
736893,29.39
736890,29.15
736889,28.90
736888,28.28
736887,26.91
736886,26.67
736883,27.25
736882,27.15
736881,27.50
736880,26.98
736879,26.96
736876,26.68
736875,26.62
736874,26.31
736873,26.69
736872,25.79
736869,26.10
736868,25.90
736867,26.16
736866,27.06
736865,27.60
736862,27.26
736860,27.50
736859,27.28
736858,27.72
736855,28.35
736854,28.39
736853,28.80
736852,27.65
736851,27.80
736848,28.35
736847,28.61
736846,29.00
736845,28.72
736844,28.67
736841,27.90
736840,27.73
736839,27.70
736838,27.00
736837,27.47
736834,28.35
736833,25.20
736832,34.52
736831,34.70
736830,35.37
736827,34.60
736826,33.50
736825,32.89
736824,32.32
736823,32.70
736820,32.55
736819,33.85
736818,33.83
736817,33.07
736813,32.50
736812,32.38
736811,32.35
736810,32.10
736809,32.12
736805,31.51
736804,32.42
736803,31.73
736802,30.98
736798,32.08
736797,32.69
736796,32.85
736795,32.57
736792,32.57
736791,33.40
736790,34.10
736789,33.80
736788,33.76
736785,33.80
736784,34.40
736783,33.09
736782,33.19
736781,32.85
736778,33.00
736777,32.89
736776,31.97
736775,33.10
736774,32.69
736771,33.92
736770,34.11
736769,34.14
736768,33.89
736767,34.00
736764,33.77
736763,33.78
736762,34.62
736761,35.29
736760,34.62
736757,33.37
736756,33.49
736755,33.90
736750,32.92
736749,34.11
736748,33.90
736747,33.44
736746,33.11
736743,32.63
736742,31.22
736741,31.53
736740,31.43
736739,31.30
736736,30.98
736735,30.76
736734,30.49
736733,30.66
736732,31.30
736729,30.82
736728,30.86
736727,31.39
736726,30.68
736725,31.02
736722,31.79
736721,31.00
736719,30.70
736718,29.50
736715,28.76
736714,28.74
736713,29.06
736712,28.45
736711,28.50
736708,28.99
736707,29.12
736706,28.35
736705,28.26
736704,27.79
736701,28.58
736700,28.72
736699,28.65
736698,27.76
736697,27.90
736693,27.69
736692,27.35
736691,27.32
736690,26.79
736687,26.06
736686,26.28
736685,26.50
736684,26.02
736683,26.50
736680,26.39
736679,25.28
736678,25.95
736677,25.70
736676,26.08
736673,27.02
736672,27.21
736671,27.08
736670,26.53
736669,27.17
736666,26.40
736665,28.00
736664,28.55
736663,28.53
736662,27.63
736659,27.29
736658,28.40
736657,28.22
736656,28.75
736655,27.76
736652,25.45
736651,26.29
736650,25.00
736648,23.70
736645,25.05
736644,27.88
736643,26.80
736642,27.96
736641,28.15
736638,26.61
736637,27.40
736635,29.38
736634,28.37
736631,28.55
736630,27.25
736629,27.30
736628,28.40
736627,28.80
736624,28.08
736623,27.21
736622,28.05
736621,27.55
736620,25.80
736617,25.70
736616,24.77
736614,25.31
736613,25.43
736610,24.91
736609,23.85
736608,23.50
736607,23.30
736606,22.90
736603,22.65
736602,23.34
736601,22.99
736600,22.76
736599,22.67
736596,23.30
736595,23.60
736594,22.86
736593,22.30
736592,22.19
736589,22.23
736588,22.06
736587,22.05
736586,22.56
736585,22.74
736582,23.75
736581,23.87
736579,23.62
736578,23.84
736575,23.17
736574,23.45
736573,23.88
736572,23.94
736571,22.88
736568,22.60
736567,22.40
736566,22.41
736565,22.50
736564,23.18
736561,22.60
736560,22.79
736559,22.70
736558,22.93
736557,22.73
736554,22.05
736553,20.81
736552,21.47
736551,21.23
736550,21.08
736547,21.30
736546,20.72
736545,20.10
736544,20.50
736543,21.14
736540,20.66
736539,21.25
736538,21.50
736537,21.35
736536,20.69
736533,20.90
736532,21.30
736531,21.00
736530,19.89
736529,19.30
736526,18.94
736525,18.40
736524,17.79
736523,18.32
736522,17.51
736519,17.06
736518,17.01
736517,16.90
736516,17.03
736515,17.20
736512,17.19
736511,16.46
736510,16.19
736509,15.96
736508,16.04
736505,15.62
736504,16.11
736503,15.99
736502,15.95
736501,16.48
736498,16.33
736497,15.98
736496,16.23
736495,16.63
736494,16.36
736491,17.16
736490,17.31
736489,17.08
736488,16.95
736487,17.35
736484,17.03
736483,16.66
736482,16.38
736481,16.35
736480,16.31
736477,16.70
736475,16.00
736474,17.28
736473,17.04
736470,18.00
736469,17.95
736468,18.04
736467,18.86
736466,19.31
736463,19.95
736462,20.13
736461,22.00
736460,20.78
736459,20.64
736456,19.98
736455,21.20
736454,20.30
736453,21.10
736452,22.00
736449,22.00
736448,22.05
736447,22.00
736446,20.92
736445,21.10
736442,21.27
736440,21.88
736439,22.40
736438,22.60
736435,22.78
736434,22.81
736433,22.76
736432,21.72
736431,21.33
736428,19.49
736427,18.60
736426,18.11
736425,18.55
736424,19.41
736421,19.39
736420,20.01
736419,21.00
736418,20.15
736417,20.20
736413,18.75
736412,19.98
736411,20.52
736410,20.59
736407,20.82
736406,21.21
736405,17.15
736404,20.51
736403,23.00
736400,21.52
736399,20.75
736398,20.20
736397,18.25
736396,18.25
736393,18.65
736392,15.10
736391,14.38
736390,13.72
736389,13.40
736386,13.27
736385,13.00
736384,13.16
736383,13.50
736382,13.39
736379,12.87
736378,13.36
736377,13.43
736376,13.14
736375,13.30
736372,13.20
736371,13.47
736370,13.52
736365,13.90
736364,13.50
736363,13.46
736362,13.80
736361,13.74
736358,13.07
736357,12.82
736356,12.80
736355,12.84
736351,12.95
736350,12.62
736349,12.66
736348,13.32
736347,13.11
736344,13.19
736343,13.00
736342,13.32
736341,13.67
736340,14.00
736337,14.19
736336,14.10
736335,14.13
736334,14.41
736333,14.44
736328,14.90
736327,15.19
736326,14.87
736321,15.27
736320,15.14
736319,16.00
736316,15.90
736315,17.12
736314,16.60
736313,16.85
736312,17.36
736309,17.78
736308,18.64
736307,17.52
736306,17.25
736305,17.45
736302,17.68
736301,17.40
736300,16.38
736299,16.40
736298,17.11
736295,17.76
736294,17.62
736293,18.32
736292,18.30
736291,18.81
736287,18.05
736286,17.65
736285,17.50
736284,17.11
736281,17.05
736280,16.80
736279,17.34
736278,16.81
736277,17.19
736274,18.11
736273,17.35
736272,17.62
736271,16.27
736267,15.40
736266,16.12
736265,16.50
736264,16.40
736263,16.75
736260,17.21
736259,16.65
736258,16.35
736257,17.01
736256,16.37
736253,16.57
736252,17.00
736251,16.90
736250,17.94
736246,18.00
736245,17.80
736244,16.74
736243,16.04
736242,16.08
736239,14.84
736238,15.20
736237,14.89
736236,14.52
736235,15.15
736232,16.02
736231,15.50
736230,16.40
736229,16.23
736228,16.92
736225,17.77
736224,17.99
736223,17.82
736222,17.02
736221,16.29
